internal_period,time_interval,price_yuan_per_kWh,load_kWh,pv_kWh,grid_purchase_kWh,charge_kWh,discharge_kWh,curtailment_kWh,end_SOC_kWh,charge_indicator
40,06:30-06:40,0.8601,730.7659333333332,173.27906666666667,0.0,0.0,557.48687,0.0,7367.606,0
41,06:40-06:50,0.8442,739.1292833333333,209.88958333333335,0.0,0.0,529.2397,0.0,6779.5619,0
42,06:50-07:00,0.8334,753.90935,251.43863333333334,0.0,0.0,502.47072,0.0,6221.2611,0
43,07:00-07:10,0.8092,754.0120166666667,298.56845,0.0,0.0,455.44357,0.0,5715.2127,0
44,07:10-07:20,0.7972,757.6477833333333,347.5810833333333,0.0,0.0,410.0667,0.0,5259.583,0
45,07:20-07:30,0.7644,753.8736333333333,396.87685,0.0,0.0,356.99678,0.0,4862.9199,0
46,07:30-07:40,0.6899,730.5594333333333,447.1958666666667,0.0,0.0,283.36357,0.0,4548.0715,0
47,07:40-07:50,0.86,818.4099833333332,497.72586666666666,0.0,0.0,320.68412,0.0,4191.7558,0
48,07:50-08:00,1.1617,966.6221166666666,548.2006666666666,0.0,0.0,418.42145,0.0,3726.8431,0
49,08:00-08:10,1.1683,980.8043333333333,598.89355,0.0,0.0,381.91078,0.0,3302.4978,0
50,08:10-08:20,1.0956,958.0118833333332,648.4555333333333,0.0,0.0,309.55635,0.0,2958.5463,0
51,08:20-08:30,1.0849,961.5096833333333,696.8902833333333,0.0,0.0,264.6194,0.0,2664.5247,0
52,08:30-08:40,1.061,959.0350833333333,745.2942833333333,0.0,0.0,213.7408,0.0,2427.035,0
53,08:40-08:50,1.043,970.6967833333333,792.1378666666666,0.0,0.0,178.55892,0.0,2228.6362,0
54,08:50-09:00,1.036,992.3766833333334,836.9845666666666,0.0,0.0,155.39212,0.0,2055.9783,0
55,09:00-09:10,1.0147,993.1616,880.9020999999999,0.0,0.0,112.2595,0.0,1931.2455,0
56,09:10-09:20,0.9922,988.2592333333333,923.8623666666667,0.0,0.0,64.396867,0.0,1859.6934,0
57,09:20-09:30,0.97,987.2971333333332,964.7348833333333,0.0,0.0,22.56225,0.0,1834.6242,0
58,09:30-09:40,0.9422,984.5976666666667,1002.0217333333333,0.0,17.424067,0.0,0.0,1850.3059,1
59,09:40-09:50,0.9569,983.1877,1036.0254666666665,0.0,52.837767,0.0,0.0,1897.8599,1
60,09:50-10:00,0.9977,983.7032666666667,1068.2656833333333,0.0,84.562417,0.0,0.0,1973.9661,1
61,10:00-10:10,0.9919,982.9132166666666,1099.8968,0.0,116.98358,0.0,0.0,2079.2513,1
62,10:10-10:20,0.9588,981.1261333333333,1127.7867333333334,0.0,146.6606,0.0,0.0,2211.2458,1
63,10:20-10:30,0.9549,978.9118,1152.43205,0.0,173.52025,0.0,0.0,2367.4141,1
64,10:30-10:40,0.9839,976.3384666666667,1177.36755,0.0,201.02908,0.0,0.0,2548.3402,1
65,10:40-10:50,0.799,974.1658,1199.5719166666665,0.0,225.40612,0.0,0.0,2751.2057,1
66,10:50-11:00,0.5025,973.1764499999999,1217.1857,0.0,244.00925,0.0,0.0,2970.8141,1
67,11:00-11:10,0.4662,973.1183833333332,1231.2808,575.17092,833.33333,0.0,0.0,3720.8141,1
68,11:10-11:20,0.5007,970.5729666666666,1243.2044999999998,0.0,272.63153,0.0,0.0,3966.1824,1
69,11:20-11:30,0.4827,969.1322,1253.4531833333333,0.0,284.32098,0.0,0.0,4222.0713,1
70,11:30-11:40,0.4785,972.06585,1261.3673166666667,179.27717,468.57864,0.0,0.0,4643.7921,1
71,11:40-11:50,0.4662,952.1501666666666,1265.3589833333333,520.12452,833.33333,0.0,0.0,5393.7921,1
72,11:50-12:00,0.4432,919.9101166666666,1266.84055,486.4029,833.33333,0.0,0.0,6143.7921,1
73,12:00-12:10,0.4411,915.7984499999999,1268.7193333333332,480.41245,833.33333,0.0,0.0,6893.7921,1
74,12:10-12:20,0.4551,919.0754,1267.1087333333332,485.3,833.33333,0.0,0.0,7643.7921,1
75,12:20-12:30,0.4463,914.3048333333332,1259.0312,488.60697,833.33333,0.0,0.0,8393.7921,1
76,12:30-12:40,0.4113,910.3937999999999,1245.4564,498.27073,833.33333,0.0,0.0,9143.7921,1
77,12:40-12:50,0.5682,927.6844333333333,1232.2361999999998,0.0,304.55177,0.0,0.0,9417.8887,1
78,12:50-13:00,0.8279,954.2924666666665,1218.79965,0.0,264.50718,0.0,0.0,9655.9452,1
79,13:00-13:10,0.8636,956.5826166666667,1199.0901666666666,0.0,242.50755,0.0,0.0,9874.202,1
80,13:10-13:20,0.8416,952.4472666666667,1175.5228499999998,0.0,223.07558,0.0,0.0,10074.97,1
81,13:20-13:30,0.8618,952.9750833333333,1151.7343999999998,0.0,198.75932,0.0,0.0,10253.853,1
82,13:30-13:40,0.8623,951.3747666666666,1128.7345833333334,0.0,177.35982,0.0,0.0,10413.477,1
83,13:40-13:50,0.9026,949.4863666666666,1101.2266666666665,0.0,151.7403,0.0,0.0,10550.043,1
84,13:50-14:00,0.9754,948.7163833333334,1068.7514166666665,0.0,120.03503,0.0,0.0,10658.075,1
85,14:00-14:10,1.0002,947.8548499999999,1035.6693,0.0,87.81445,0.0,0.0,10737.108,1
86,14:10-14:20,0.9978,946.4936666666667,1000.1185333333333,0.0,53.624867,0.0,0.0,10785.37,1
87,14:20-14:30,1.0271,944.9084666666665,961.1636,0.0,16.255133,0.0,0.0,10800.0,1
88,14:30-14:40,1.0906,944.0324666666667,920.2511,0.0,0.0,23.781367,0.0,10773.576,0
89,14:40-14:50,0.9376,945.4501833333334,878.1301666666666,0.0,0.0,67.320017,0.0,10698.776,0
90,14:50-15:00,0.6694,947.0423999999999,834.9525333333332,112.08987,0.0,0.0,0.0,10698.776,0
91,15:00-15:10,0.66,944.8365833333334,790.5747333333334,266.73269,112.47084,0.0,0.0,10800.0,1
92,15:10-15:20,0.7217,942.7275166666666,745.204,197.52352,0.0,0.0,0.0,10800.0,0
93,15:20-15:30,0.7308,942.8477833333333,698.03375,244.81403,0.0,0.0,0.0,10800.0,0
94,15:30-15:40,0.7534,943.7668,648.2321833333333,295.53462,0.0,0.0,0.0,10800.0,0
95,15:40-15:50,0.7823,944.8766,599.0990999999999,345.7775,0.0,0.0,0.0,10800.0,0
96,15:50-16:00,0.8055,945.57945,550.6479666666667,394.93148,0.0,0.0,0.0,10800.0,0
97,16:00-16:10,0.8271,945.1691000000001,499.73744999999997,445.43165,0.0,0.0,0.0,10800.0,0
98,16:10-16:20,0.8519,943.5987666666666,447.90218333333337,495.69658,0.0,0.0,0.0,10800.0,0
99,16:20-16:30,0.8791,944.3153666666667,397.1963166666667,547.11905,0.0,0.0,0.0,10800.0,0
100,16:30-16:40,0.9024,948.1728666666666,348.18743333333333,599.98543,0.0,0.0,0.0,10800.0,0
101,16:40-16:50,0.9163,933.9435666666666,298.5138166666667,635.42975,0.0,0.0,0.0,10800.0,0
102,16:50-17:00,0.9264,911.1187333333334,250.28805,660.83068,0.0,0.0,0.0,10800.0,0
103,17:00-17:10,0.9462,911.2323166666666,209.19538333333333,702.03693,0.0,0.0,0.0,10800.0,0
104,17:10-17:20,0.9742,910.7878333333333,172.72205,738.06578,0.0,0.0,0.0,10800.0,0
105,17:20-17:30,0.9862,915.4076333333334,139.46291666666667,775.94472,0.0,0.0,0.0,10800.0,0
106,17:30-17:40,0.976,936.9551333333334,110.87188333333333,826.08325,0.0,0.0,0.0,10800.0,0
107,17:40-17:50,1.0742,848.5354333333332,86.11263333333332,762.4228,0.0,0.0,0.0,10800.0,0
108,17:50-18:00,1.2313,701.4281333333333,64.44551666666666,636.98262,0.0,0.0,0.0,10800.0,0
109,18:00-18:10,1.2561,687.1268499999999,45.96554999999999,531.89405,0.0,109.26725,0.0,10678.592,0
110,18:10-18:20,1.2447,709.3226333333333,30.492099999999997,678.83053,0.0,0.0,0.0,10678.592,0
111,18:20-18:30,1.2545,704.3254,18.0569,686.2685,0.0,0.0,0.0,10678.592,0
112,18:30-18:40,1.2522,705.5563999999999,9.052016666666667,696.50438,0.0,0.0,0.0,10678.592,0
113,18:40-18:50,1.2881,707.7437499999999,3.1094833333333334,0.0,0.0,704.63427,0.0,9895.665,0
114,18:50-19:00,1.3466,706.5299166666666,0.04588333333333333,0.0,0.0,706.48403,0.0,9110.6827,0
115,19:00-19:10,1.3523,707.4447333333333,0.038266666666666664,0.0,0.0,707.40647,0.0,8324.6755,0
116,19:10-19:20,1.3445,708.6531166666666,0.10011666666666666,0.0,0.0,708.553,0.0,7537.3944,0
117,19:20-19:30,1.3483,709.4468833333333,0.0,0.0,0.0,709.44688,0.0,6749.1201,0
118,19:30-19:40,1.349,711.23245,0.0,0.0,0.0,711.23245,0.0,5958.8618,0
119,19:40-19:50,1.3473,711.6625,0.0,0.0,0.0,711.6625,0.0,5168.1257,0
120,19:50-20:00,1.3482,711.4450333333332,0.0,0.0,0.0,711.44503,0.0,4377.6312,0
121,20:00-20:10,1.3513,713.7040833333333,0.0,0.0,0.0,713.70408,0.0,3584.6267,0
122,20:10-20:20,1.34,715.28415,0.0,0.0,0.0,715.28415,0.0,2789.8665,0
123,20:20-20:30,1.3489,715.22685,0.0,0.0,0.0,715.22685,0.0,1995.17,0
124,20:30-20:40,1.3952,715.6530333333333,0.0,0.0,0.0,715.65303,0.0,1200.0,0
125,20:40-20:50,1.2226,715.8689166666666,0.0,715.86892,0.0,0.0,0.0,1200.0,0
126,20:50-21:00,0.9332,717.0051166666667,0.0,717.00512,0.0,0.0,0.0,1200.0,0
127,21:00-21:10,0.9068,720.1603,0.0,720.1603,0.0,0.0,0.0,1200.0,0
128,21:10-21:20,0.9371,717.0548666666666,0.0,717.05487,0.0,0.0,0.0,1200.0,0
129,21:20-21:30,0.9371,720.4459666666667,0.0,720.44597,0.0,0.0,0.0,1200.0,0
130,21:30-21:40,0.9871,738.1347166666666,0.0,738.13472,0.0,0.0,0.0,1200.0,0
131,21:40-21:50,0.7764,671.6935666666666,0.0,671.69357,0.0,0.0,0.0,1200.0,0
132,21:50-22:00,0.4209,560.4569833333333,0.0,1393.7903,833.33333,0.0,0.0,1950.0,1
133,22:00-22:10,0.3859,551.5655666666667,0.0,1384.8989,833.33333,0.0,0.0,2700.0,1
134,22:10-22:20,0.4368,568.8260499999999,0.0,568.82605,0.0,0.0,0.0,2700.0,0
135,22:20-22:30,0.4198,563.6552166666667,0.0,1396.9886,833.33333,0.0,0.0,3450.0,1
136,22:30-22:40,0.4186,564.4265333333333,0.0,1397.7599,833.33333,0.0,0.0,4200.0,1
137,22:40-22:50,0.4241,566.7474333333332,0.0,566.74743,0.0,0.0,0.0,4200.0,0
138,22:50-23:00,0.4237,566.5404333333333,0.0,1399.8738,833.33333,0.0,0.0,4950.0,1
139,23:00-23:10,0.4248,567.83015,0.0,567.83015,0.0,0.0,0.0,4950.0,0
140,23:10-23:20,0.424,569.3586333333333,0.0,569.35863,0.0,0.0,0.0,4950.0,0
141,23:20-23:30,0.422,570.3301833333333,0.0,1403.6635,833.33333,0.0,0.0,5700.0,1
142,23:30-23:40,0.424,571.6153833333333,0.0,904.94872,333.33333,0.0,0.0,6000.0,1
143,23:40-23:50,0.4271,573.1768333333333,0.0,573.17683,0.0,0.0,0.0,6000.0,0
144,23:50-24:00,0.4276,574.1209833333332,0.0,574.12098,0.0,0.0,0.0,6000.0,0
